id,inclinacion_peligrosa
1,0
2,0
4,1
6,1
9,1
13,1
14,0
17,1
23,1
28,0
30,0
31,0
34,0
35,0
44,0
48,0
49,1
51,0
52,1
53,0
61,1
62,0
66,0
73,1
83,0
86,1
92,1
102,1
110,0
111,1
115,0
119,0
120,1
122,1
123,0
127,0
128,1
131,1
141,0
142,0
144,1
152,1
156,1
157,1
158,1
160,0
163,0
164,1
167,0
169,0
171,1
175,0
176,0
178,0
183,1
184,1
197,0
201,0
202,0
203,0
209,0
210,1
214,0
221,0
225,1
227,0
236,0
238,1
241,0
244,0
249,0
251,1
254,0
256,1
264,0
267,1
270,0
273,1
275,1
276,0
279,0
280,1
285,1
286,0
287,0
289,1
290,0
300,1
301,0
302,1
303,0
304,1
307,0
312,1
315,1
319,1
323,0
328,0
336,1
343,0
345,1
346,1
350,0
356,0
363,1
365,1
368,0
370,1
371,0
373,1
374,0
375,0
376,0
377,0
379,0
380,0
381,1
385,1
388,0
399,1
404,1
409,1
411,0
417,1
420,1
421,0
436,0
441,0
442,0
450,0
455,0
456,1
461,0
462,1
464,0
467,0
475,1
478,0
484,1
485,0
493,1
499,1
504,0
505,0
509,0
510,0
517,1
521,1
522,1
528,1
534,1
538,0
539,0
542,1
545,1
547,0
548,0
550,0
563,1
569,0
573,1
574,1
576,1
577,0
579,0
580,0
582,0
585,1
586,0
590,0
594,1
604,1
606,0
607,1
612,1
614,0
615,0
617,0
619,1
629,0
632,1
635,1
637,0
639,0
640,1
642,0
644,0
645,1
648,0
649,1
653,1
659,1
661,0
668,1
670,0
676,0
683,1
687,0
690,0
692,0
694,1
699,0
701,1
702,0
704,1
705,0
707,1
710,1
714,1
717,1
718,0
720,1
721,0
722,1
726,1
734,0
736,0
737,0
738,1
739,1
740,0
747,1
749,1
756,1
757,0
762,1
768,1
773,1
774,1
775,0
776,0
783,1
788,0
789,1
798,1
799,0
802,1
804,1
812,1
816,0
817,1
821,0
825,1
829,0
830,1
832,1
834,0
835,0
836,0
840,0
841,1
843,1
847,1
849,1
850,0
852,0
857,1
863,0
872,1
878,0
881,1
882,0
890,0
899,1
901,0
902,0
905,0
907,0
910,1
918,1
927,0
929,0
930,0
940,1
944,0
953,0
959,1
964,0
